Product Name,Price,Rating,Review Count,Url
LG Full HD IPS UltraWide Monitor,$198.75,4.4 out of 5 stars,"3,286",https://www.amazon.com/LG-25UM58-P-25-Inch-21-UltraWide/dp/B01BV1XB2K/ref=sr_1_19?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-19
"Samsung 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black",Not Available,4.4 out of 5 stars,460,https://www.amazon.com/Samsung-S34J55W-34-Inch-Ultrawide-LS34J550WQNXZA/dp/B07FBS36W2/ref=sr_1_20?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-20
ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,$209.99,4.7 out of 5 stars,"4,017",https://www.amazon.com/ViewSonic-VX3276-MHD-Frameless-Widescreen-DisplayPort/dp/B0787WGCXT/ref=sr_1_21?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-21
"LG 34WN650-W 34-Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Display with VESA DisplayHDR 400 and AMD FreeSync, Silver",$392.84,4.6 out of 5 stars,262,https://www.amazon.com/LG-34WN650-W-34-Inch-UltraWide-DisplayHDR/dp/B087JB656Q/ref=sr_1_22?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-22
"Philips 346E2CUAE 34"" Curved Frameless Monitor, UltraWide QHD 3440 x 1440, 121% sRGB/99.5% NTSC, 1ms MPRT, USB-C docking, MultiView PIP/PBP, Height Adjustable, VESA, 4Yr Advance Replacement Warranty",$429.99,5.0 out of 5 stars,1,https://www.amazon.com/346E2CUAE-Frameless-UltraWide-Adjustable-Replacement/dp/B08KFSMGJ8/ref=sr_1_23?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-23
"LG 49WL95C-W 49-Inch Curved 32: 9 Ultrawide Dqhd IPS with HDR10 and USB Type-C,49 Inch Curved - 32:9 DQHD Resolution",Not Available,4.4 out of 5 stars,401,https://www.amazon.com/LG-49WL95C-W-49-Inch-Curved-Ultrawide/dp/B07PJQKLTW/ref=sr_1_24?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-24
"Dell U-Series 38"" Screen LED-Lit Monitor (U3818DW), Black",Not Available,4.5 out of 5 stars,595,https://www.amazon.com/Dell-Screen-LED-Lit-Monitor-U3818DW/dp/B073FHWTPL/ref=sr_1_25?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-25
"Dark Matter by Monoprice 34in Curved Ultrawide Gaming Monitor - 21:9, 1500R, UWQHD, 3440x1440p, 144Hz, 4ms GTG, DisplayHDR 400, AMD FreeSync, Height Adjustable Stand, Quantum Dot, VA, Black (140776)",$449.10,4.3 out of 5 stars,14,https://www.amazon.com/Matter-Monoprice-Curved-Ultrawide-Monitor/dp/B088LX5K32/ref=sr_1_26?dchild=1&keywords=ultrawide+monitor&qid=1612449660&sr=8-26
Portable Monitor 4K - 15.6 inch 3840 x 2160 UHD 72% NTSC HDR FreeSync USB-C Portable Display with Zero Frame HD Type-C Mini DP for Laptop PC Phone Mac Surface Xbox PS4 Switch (Black),$289.99,4.7 out of 5 stars,78,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A10430143KH3HTTF3Q1FN&url=%2FPortable-Monitor-4K-FreeSync-Display%2Fdp%2FB08B4LDKJ6%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1612449660%26sr%3D8-27-spons%26psc%3D1&qualifier=1612449660&id=2132397109834940&widgetName=sp_mtf
"SAMSUNG 32-inch M7 Smart Monitor with Mobile Connectivity, 4K UHD, Remote Access, Office 365 (LS32AM702UNXZA), Black",$349.99,3.7 out of 5 stars,59,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A051510629GQA9WH35MXT&url=%2FSAMSUNG-32-inch-Monitor-Connectivity-LS32AM702UNXZA%2Fdp%2FB08JXG2518%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1612449660%26sr%3D8-28-spons%26psc%3D1&qualifier=1612449660&id=2132397109834940&widgetName=sp_mtf
